prompt,source url,query,published_time,modified_time,author
When do you feel most alive?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
"When you can't sleep at night, what are you thinking about?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
What activities tend to anchor you in the present moment?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
"Name an activity that makes you feel really, truly happy.",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
Close your eyes for three minutes and count your breaths. What thoughts came up while you did this?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
What were you worried about this time last year? Are you still worried about that now?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
What does your best friend or partner feel anxious about? Is it the same things you feel anxious about?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
If you moved to a new place — it can be anywhere in the world — do you think you would still experience anxiety? Why or why not?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
Write through what would happen if the thing you worry about most often actually came true.,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
Write a letter to your younger self. What advice would you give him or her?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
How do you feel when you sit quietly for five or ten minutes?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
What thoughts do you have that you think serve the least amount of purpose in your life?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
What's your biggest pet peeve?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
"If you could change one thing about your life right now, what would you change?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
"Close your eyes and imagine a peaceful, calm place. Where is that place?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
What practices do you think benefit your overall wellbeing most?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
What does your current morning routine look like? How could you change it?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
"What's one practice, place, or person that helps reduce stress in your life?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
Write about something you're looking forward to.,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
"Think about your life. How do you feel things are going, overall?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
Where do you hope to be 10 years from now?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
"Do you think there's a ""point"" to meditation? Why or why not?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
What goals do you have related to mindfulness and staying present?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
Who do you most admire? Why?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
What does personal growth mean to you?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
"When you actually do get outside your comfort zone, how do you typically feel?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
How often do you do things that get you outside your comfort zone?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
What can you do differently tomorrow?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
Do you have a hobby? How do you feel when you're engaged with it?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
What can you do today that your future self will thank you for?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
Do you like your job? How do you typically feel during your workday?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
"What's something you resisted today, or in the past week? Why do you think you resisted it?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
Do you consider yourself an anxious person? Why or why not?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
What would my future self tell me about this worry?,https://medium.com/@denpyl/3-mindful-journal-prompts-to-steady-your-inner-peace-amid-relentless-worry-3f12fb13bc8b,mindfulness journaling prompts,2024-12-01,n/a,Denise Pyles
"What is real, and what is imagined?",https://medium.com/@denpyl/3-mindful-journal-prompts-to-steady-your-inner-peace-amid-relentless-worry-3f12fb13bc8b,mindfulness journaling prompts,2024-12-01,n/a,Denise Pyles
What are you grateful for?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
"What does ""mindful living"" mean to you?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
"How do you feel when you sit quietly, without the distraction of technology or TV?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact
When do you feel a relief?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
Who can help you feel a relief?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What do you think are the biggest challenges for you so far?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What is your happiest moment of life?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What would be the title of your life now? Why?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
Who do you trust the most? Why?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
Who are the people that you love the most? What are their characteristics?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
"If you could add, change or cancel the rule at home. What would it be?",https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What is your scariest moment (real life or fantasy moment..),https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What makes you happy?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
When do you feel the happiest?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What makes you feel uncomfortable?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
How do you think others see you? Why?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What is the first symptom you notice when you feel anxious/stressed/sad?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
Tell about time when you felt really mad.,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What frightens you?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
"In your opinion, what is the best movie you‘ve ever seen. Why?",https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
Write about hardest moments in your life – what would be different now if you had made a different choice?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
Why don‘t you want to follow the rules at home/school?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
Write about the hardest moments in your life. What benefits you‘ve got from your mistakes?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What makes you angry?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What topics are you afraid to talk about? Why?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What can you learn from your relatives?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
How can you help yourself to be more productive?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What activities do you love the most?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What makes you feel proud?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What is something you feel nervous about right now?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
"If you can say one word which describes your feelings now, what would it be?",https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
"Using 30 words, describe yourself. Who are you?",https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
Write a list of things that make you feel uncomfortable. Mark the things that depend on you and the ones that don‘t. Think what you can change.,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
Who are your heroes?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What habits do you want to change? Think carefully about the plan how you can change that.,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
How do you imagine yourself after 10 years?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
Make a list of everything you’d like to disagree/rebel about.,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
Write down everything that inspires you. Don‘t forget the little things.,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
Write the words you want to hear every day.,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
Write down your everyday dreams for a month.,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
Write about a time when you did something you were afraid to try.,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
Why is it important to communicate about emotions?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
How do you feel when you get a compliment?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What does encourage you to help another person?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte
What am I looking forward to today?,https://www.robynmariecoaching.com/64/50-mindfulness-journal-prompts-for-more-self-awareness/,mindfulness journaling prompts,2023-05-01,2023-05-01,Robyn Lewis
"If I wasn’t afraid, I would…",https://www.robynmariecoaching.com/64/50-mindfulness-journal-prompts-for-more-self-awareness/,mindfulness journaling prompts,2023-05-01,2023-05-01,Robyn Lewis
Today I am grateful for…,https://www.robynmariecoaching.com/64/50-mindfulness-journal-prompts-for-more-self-awareness/,mindfulness journaling prompts,2023-05-01,2023-05-01,Robyn Lewis
I was proud of myself this week when…,https://www.robynmariecoaching.com/64/50-mindfulness-journal-prompts-for-more-self-awareness/,mindfulness journaling prompts,2023-05-01,2023-05-01,Robyn Lewis
I could take better care of myself by…,https://www.robynmariecoaching.com/64/50-mindfulness-journal-prompts-for-more-self-awareness/,mindfulness journaling prompts,2023-05-01,2023-05-01,Robyn Lewis
