manual_label	prompt	source url	query	published_time	modified_time	author		
1	I AM SO BLESSED TO BE ABLE TO...	https://ysu.edu/sites/default/files/bouncingback/Wellness%20Day%20Mindfulness%20Journaling%20Prompts%20%20ADA.pdf	mindfulness journaling prompts	n/a	n/a	n/a		
1	I CAN'T WAIT TO...	https://ysu.edu/sites/default/files/bouncingback/Wellness%20Day%20Mindfulness%20Journaling%20Prompts%20%20ADA.pdf	mindfulness journaling prompts	n/a	n/a	n/a		
1	I CAN FOLLOW MY PASSION BY...	https://ysu.edu/sites/default/files/bouncingback/Wellness%20Day%20Mindfulness%20Journaling%20Prompts%20%20ADA.pdf	mindfulness journaling prompts	n/a	n/a	n/a		
1	MY FAVORITE MOVIES ARE...	https://ysu.edu/sites/default/files/bouncingback/Wellness%20Day%20Mindfulness%20Journaling%20Prompts%20%20ADA.pdf	mindfulness journaling prompts	n/a	n/a	n/a		
1	I BELIEVE IN...	https://ysu.edu/sites/default/files/bouncingback/Wellness%20Day%20Mindfulness%20Journaling%20Prompts%20%20ADA.pdf	mindfulness journaling prompts	n/a	n/a	n/a		
1	I WANT TO IMPROVE MY...	https://ysu.edu/sites/default/files/bouncingback/Wellness%20Day%20Mindfulness%20Journaling%20Prompts%20%20ADA.pdf	mindfulness journaling prompts	n/a	n/a	n/a		
1	MY FAVORITE BOOKS ARE...	https://ysu.edu/sites/default/files/bouncingback/Wellness%20Day%20Mindfulness%20Journaling%20Prompts%20%20ADA.pdf	mindfulness journaling prompts	n/a	n/a	n/a		
1	I WANT TO LEARN HOW TO...	https://ysu.edu/sites/default/files/bouncingback/Wellness%20Day%20Mindfulness%20Journaling%20Prompts%20%20ADA.pdf	mindfulness journaling prompts	n/a	n/a	n/a		
1	TOMORROW,I WANT TO ACCOMPLISH..	https://ysu.edu/sites/default/files/bouncingback/Wellness%20Day%20Mindfulness%20Journaling%20Prompts%20%20ADA.pdf	mindfulness journaling prompts	n/a	n/a	n/a		
1	Tell me what you want, what you really really want.	https://ask.metafilter.com/333718/Organize-my-thoughts	mindfulness journaling prompts	May 3, 2019 8:10 PM	n/a	yawper		
0	What do we know, and what do we not know?	https://ask.metafilter.com/333718/Organize-my-thoughts	mindfulness journaling prompts	May 3, 2019 8:10 PM	n/a	yawper		
0	Journaling for Mindfulness: 44 Prompts, Examples & Exercises	https://mindful-counseling-center.com/mindfulness-prompts-exercises/	mindfulness journaling prompts	2021-11-01T00:00:00Z	2022-12-01T00:00:00Z	Kristin Littel		
0	Try This Guided Meditation as a Mindful Writing Prompt	https://mindful-counseling-center.com/mindfulness-prompts-exercises/	mindfulness journaling prompts	2021-11-01T00:00:00Z	2022-12-01T00:00:00Z	Kristin Littel		
0	How to Start a Grief Journal	https://mindful-counseling-center.com/mindfulness-prompts-exercises/	mindfulness journaling prompts	2021-11-01T00:00:00Z	2022-12-01T00:00:00Z	Kristin Littel		
0	5 Minute Art Journaling Prompts	https://mindful-counseling-center.com/mindfulness-prompts-exercises/	mindfulness journaling prompts	2021-11-01T00:00:00Z	2022-12-01T00:00:00Z	Kristin Littel		
0	30 End of Year Journal Prompts for Self-Reflection	https://mindful-counseling-center.com/mindfulness-prompts-exercises/	mindfulness journaling prompts	2021-11-01T00:00:00Z	2022-12-01T00:00:00Z	Kristin Littel		
0	Writing prompts — Mindful Art Blog	https://mindful-counseling-center.com/mindfulness-prompts-exercises/	mindfulness journaling prompts	2021-11-01T00:00:00Z	2022-12-01T00:00:00Z	Kristin Littel		
1	Noticing the thoughts going through my head, here are 3 things that pop up.	https://mindfulnessbox.com/mindfulness-journal-prompts/	mindfulness journaling prompts	February 21, 2024	February 21, 2024	Ryan Kane		
1	What inspires me?	https://mindfulnessbox.com/mindfulness-journal-prompts/	mindfulness journaling prompts	February 21, 2024	February 21, 2024	Ryan Kane		
1	Simply write anything that's on your mind for 20 straight minutes. Include any "ums" or "likes." Anything you're thinking as you think it. This is a great way to clear your mind or to spark new ideas you may not have thought you had.	https://sijohome.com/blogs/guides/journaling-prompts-for-mindfulness-and-meditation?srsltid=AfmBOopwxXZG_olCpTKl4p9qdP7ohoxQrjiD1G0IW52c_BNOiZ_JAhOh	mindfulness journaling prompts	2023-10-01T12:00:00Z	2023-10-01T12:00:00Z	Sijo Home		
1	Your current favorites: restaurant, recipe, show, podcast, book, etc.	https://ideas.hallmark.com/articles/lifestyle-ideas/50-topics-for-your-mindfulness-journal/	mindfulness journaling prompts	July 16, 2024	n/a	Mercedes Lucero		
1	Your guiltiest guilty pleasures.	https://ideas.hallmark.com/articles/lifestyle-ideas/50-topics-for-your-mindfulness-journal/	mindfulness journaling prompts	July 16, 2024	n/a	Mercedes Lucero		
1	Getting older is…	https://ideas.hallmark.com/articles/lifestyle-ideas/50-topics-for-your-mindfulness-journal/	mindfulness journaling prompts	July 16, 2024	n/a	Mercedes Lucero		
1	A visualization of your goals.	https://ideas.hallmark.com/articles/lifestyle-ideas/50-topics-for-your-mindfulness-journal/	mindfulness journaling prompts	July 16, 2024	n/a	Mercedes Lucero		
1	How do I deal with feeling unmotivated?	https://clearful.com/library/mindfulness-journal-prompts	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Clearful		
0	If you think back on your goals as much as any other journaler does, then chances are you will always be looking for ways to complete them in the most economical way possible.	https://moonsterleather.com/blogs/news/mindfulness-journal-prompts?srsltid=AfmBOooYGd0333vlvHE0KqccfPp2OHhpf9Ywr-ud5pAOtuh40Jkf6F5y	mindfulness journaling prompts	June 7, 2023	June 7, 2023	Moonster Leather		
0	By being the change you wish to see in the world and doing unto others what you would wish others to do to yourself, you can effect a positive impact on the world about you.	https://moonsterleather.com/blogs/news/mindfulness-journal-prompts?srsltid=AfmBOooYGd0333vlvHE0KqccfPp2OHhpf9Ywr-ud5pAOtuh40Jkf6F5y	mindfulness journaling prompts	June 7, 2023	June 7, 2023	Moonster Leather		
0	Of particular relevance in mindfulness practices is reckoning with your present surroundings. This can relate to the literal things that surround you in the present, though it could equally refer to your present circumstances.	https://moonsterleather.com/blogs/news/mindfulness-journal-prompts?srsltid=AfmBOooYGd0333vlvHE0KqccfPp2OHhpf9Ywr-ud5pAOtuh40Jkf6F5y	mindfulness journaling prompts	June 7, 2023	June 7, 2023	Moonster Leather		
0	A great way to explore the world beyond is to reckon with your senses and how they interpret what is before them.	https://moonsterleather.com/blogs/news/mindfulness-journal-prompts?srsltid=AfmBOooYGd0333vlvHE0KqccfPp2OHhpf9Ywr-ud5pAOtuh40Jkf6F5y	mindfulness journaling prompts	June 7, 2023	June 7, 2023	Moonster Leather		
1	Sit quietly and just think for five minutes. What thoughts go through your head?	https://www.journalbuddies.com/journaling-resources/mindfulness-journaling/	mindfulness journaling prompts	2011	2023	Jill		
1	Some areas that I’d like to improve in my life include:	https://www.journalbuddies.com/journaling-resources/mindfulness-journaling/	mindfulness journaling prompts	2011	2023	Jill		
0	What can I do to lower my stress levels?	https://www.journalbuddies.com/journaling-resources/mindfulness-journaling/	mindfulness journaling prompts	2011	2023	Jill		
0	You can, then, use a mindfulness journal to stop and take stock of your present moment, establishing some more healthy habits for yourself so that you might treat yourself and the people around you a little better in the future.	https://moonsterleather.com/blogs/news/mindfulness-journal-prompts?srsltid=AfmBOooYGd0333vlvHE0KqccfPp2OHhpf9Ywr-ud5pAOtuh40Jkf6F5y	mindfulness journaling prompts	June 7, 2023	June 7, 2023	Moonster Leather		
0	What can I do if I feel stressed today?	https://mindowl.org/mindfulness-journal-prompts/	mindfulness journaling prompts	28/03/2022	28/03/2022	Filipe Bastos		
1	Can I do something different tomorrow?	https://mindowl.org/mindfulness-journal-prompts/	mindfulness journaling prompts	28/03/2022	28/03/2022	Filipe Bastos		
0	Mindfully create more happiness in your life.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Rewire your nervous system for goodness.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Transform trauma and find peace through mindful journaling.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Develop attention daily to the small things that can bring us even a moment of joy!	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Grow your body literacy to deepen aliveness and self-awareness.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Cultivate clarity and focus: transform daily habits for a brighter future self.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Make space for mindfulness and rest amidst a hectic life.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	How to Spot Negative Thinking and Build a Balanced Mindset	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Free your mind, and transform your day with this simple practice.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Tap into the gifts and insights your body has for you.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	A Practice for Uncertain Times	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Five questions for evaluating how and when you allow yourself to rest (or don't).	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Activate your core values and live in alignment with what matters most.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Using breath as a bridge to connect mind and body.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	A writing exercise that makes you feel awesome.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	A way to tune into the positive events in your life.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Uncover hidden messages from your subconscious through dream exploration.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Take time to notice how the natural world engages you.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Cultivate a grateful mind with this daily reflection.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Deepen your memories of this special time	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Heal and Trust Your Inner Guide.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Tune into joy and the possibilities of grateful living.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Let go of your triggers and find inner peace.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Magnify what you want and retire what doesn't serve anymore.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Lower your anxiety and boost your confidence.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Personalize your favorite Bible verse.	https://serenityinsuffering.com/mindful-journal-prompts-for-a-new-year/	mindfulness journaling prompts	January 31, 2022	January 31, 2022	Donna		
0	Create a flow in your life and a schedule that lights you up.	https://www.reflection.app/guided-journaling-library-collection/mindfulness	mindfulness journaling prompts	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Reflection App		
0	Choose three specific prayer requests for the coming year.	https://serenityinsuffering.com/mindful-journal-prompts-for-a-new-year/	mindfulness journaling prompts	January 31, 2022	January 31, 2022	Donna		
1	I am aware of my interests and passions, which provide me with stimulation and inspire me. I feel grateful for…	https://www.yogavibes.com/blog/meditation-pranayama/journal-prompts-for-mindfulness-reflection/?srsltid=AfmBOoo7hw-n3UYb1gHVFIo_kKds-4G7njQEltOIWe8myMFKBqyIWLiT	mindfulness journaling prompts	November 27, 2020	n/a	Claire Biggerstaff		
0	Drawing slowly, use a squiggly line to explore the page. Let the pen explore the space and make movements that feel good, rather than focusing on what you think will look good. Notice what that’s like.	https://mindfulartstudio.com/5-minute-art-journaling-prompts/	mindfulness journaling prompts	March 2, 2021	March 2, 2021	Amy Maricle		
0	Slowly draw a wavy line across your page. Now echo that line, staying very close to the first. Repeat this until you finish the page or reach 5 minutes.	https://mindfulartstudio.com/5-minute-art-journaling-prompts/	mindfulness journaling prompts	March 2, 2021	March 2, 2021	Amy Maricle		
1	Write down five quotes that inspire you.	https://www.thegoodbody.com/journal-prompts-for-mindfulness/	mindfulness journaling prompts	2023-04-21T00:00:00Z	2023-04-21T00:00:00Z	Laura Smith		
1	Take 5 minutes every evening to reflect on the day, what was most meaningful to you, and what lessons you learned.	https://annais.co.uk/mindful-journal-prompts/	mindfulness journaling prompts	2022-04-11T00:00:00Z	2022-06-01T00:00:00Z	Linsey		
1	What are some ways you can better manage your time?	https://navigatemindfully.com/mindfulness-journal-prompts/	mindfulness journaling prompts	2023-07-01T00:00:00Z	2023-07-01T00:00:00Z	Navigate Mindfully		
0	Need a quick way to process emotions and boost your mood? This mindfulness journal prompt allows you to shift back into a flow state. Start getting the gunk out by releasing negative emotions and stress. Express yourself honestly and openly, without censoring. Write down and release any “woulda, coulda, shoulda” thoughts. This mindfulness journal prompt helps you return to a flow state by clearing out negative emotions and stress. Begin by expressing yourself freely, without holding back, and let go of any “woulda, coulda, shoulda” thoughts. Next, turn your attention to solutions and progress. Get curious! Ask yourself: What would make me feel better in this situation? What steps can I take to create positive change? How can I handle this challenge more compassionately? Then, shift your focus to gratitude. Reflect on the lessons you’ve learned and the strength you’ve gained. What are you grateful for now? Finally, note any insights or wisdom you’ve gained during this process. These are your “gifts” for moving forward, like a centering affirmation or a new perspective to tackle challenges more smoothly. Remember, this journal prompt is a tool for reflection and growth. Approach each step with curiosity and fully embrace your emotions. With practice, you can swiftly transform your energy and cultivate a more mindful perspective.	https://www.cateritterwellness.com/mindfulness-journaling/	mindfulness journaling prompts	May 15, 2024	n/a	Cate Ritter		
0	Looking to boost your mood and elevate your mindset? Gratitude journaling is a powerful tool for elevating your mood and cultivating a positive mindset. Start by listing everything you’re grateful for, focusing on people, experiences, and places rather than material things. This shift from scarcity to abundance promotes a sense of contentment. To amplify the benefits, truly feel the gratitude in your heart. This activates more neural pathways, creating greater heart-brain coherence and enhancing brain function. Begin with closing your eyes, taking deep breaths, visualizing what you’re grateful for, and feeling the joy and appreciation in your heart. Incorporate gratitude journaling into your daily routine, ideally in the morning and before bedtime, to positively frame your day. The more you focus on gratitude, the more you’ll attract positive experiences and opportunities.	https://www.cateritterwellness.com/mindfulness-journaling/	mindfulness journaling prompts	May 15, 2024	n/a	Cate Ritter		
1	Ready to forgive yourself, forgive others, and let go of the past? Step 1: Blanket of Mercy — Forgive Yourself and Let Go. Start your forgiveness journey by extending mercy to yourself. Write a heartfelt letter acknowledging your past mistakes and forgiving yourself. Accept that you acted with the knowledge you had at the time. Step 2: Empathy and Understanding — Forgive Others. Forgive others by empathizing with their circumstances. Write a letter from an observer’s perspective, appreciating their efforts and extending forgiveness. Decide whether to renew or release the relationship, understanding that forgiveness does not always mean staying connected. Step 3: Subconscious Healing — The Desired Response. Write a hypothetical response you wish to receive from the person you’re forgiving. This helps calm your subconscious, foster empathy, visualize forgiveness, and achieve closure. Remember, forgiveness is an ongoing process that helps you release anger and resentment, not condone wrong actions. Step 4: Ceremonial Release for Inner Peace. Conclude with a ceremonial release to heal and bring peace. Forgiveness is a gradual process, and it’s fine to revisit these steps as needed. This practice allows you to let go of past hurts and embrace emotional freedom.	https://www.cateritterwellness.com/mindfulness-journaling/	mindfulness journaling prompts	May 15, 2024	n/a	Cate Ritter		
0	How can I stay on track and motivated with my goals?	https://aldohappy.com/mindfulness-journal-prompts	mindfulness journaling prompts	2023-02-01T00:00:00Z	2023-02-01T00:00:00Z	a little dose of happy		
1	List five things you can see without moving.	https://lestallion.com/blogs/journal-prompts/50-journal-prompts-for-those-practicing-mindfulness?srsltid=AfmBOop4LpNtHKBUU73k563KYl0oK4bEGDEVP6V-o9SIHqDfkEys9d67	mindfulness journaling prompts	Oct 14, 2024	null	LeStallion		
0	What are the benefits of doing one thing at a time?	https://lestallion.com/blogs/journal-prompts/50-journal-prompts-for-those-practicing-mindfulness?srsltid=AfmBOop4LpNtHKBUU73k563KYl0oK4bEGDEVP6V-o9SIHqDfkEys9d67	mindfulness journaling prompts	Oct 14, 2024	null	LeStallion		
0	Notice tension	https://www.sheknows.com/health-and-wellness/slideshow/2611427/journal-prompts-mindfulness/	mindfulness journaling prompts	October 26, 2022 at 3:18pm EDT	n/a	Brianne Hogan		
0	Acknowledge your thoughts and feelings	https://www.sheknows.com/health-and-wellness/slideshow/2611427/journal-prompts-mindfulness/	mindfulness journaling prompts	October 26, 2022 at 3:18pm EDT	n/a	Brianne Hogan		
